instruction,output,url
"공동연구개발기관의 정의가 ‘주관연구개발기관과의 연구개발과제협약에 따라 연구개발과제를 분담하여 공동으로 수행하는 연구개발기관’ 인데, 주관연구개발기관과 별도로 협약을 체결하여야 하는지?","주관연구개발기관과 공동연구개발기관 간에 별도의 협약을 체결할 필요는 없습니다. 공동연구개발기관의 정의에 있는 ‘연구개발과제협약’은 법 제11조 및 시행령 제13조 등에 따라 중앙행정기관과 연구개발기관이 체결하는 협약을 의미하므로, 공동연구개발기관이 협약하는 대상은 중앙행정기관입니다.",
"위탁연구개발기관의 정의에 ‘중앙행정기관의 장의 승인을 받아 수행’이 있는데, 별도의 승인절차가 필요한지?","1. 위탁연구개발기관이 연구개발과제 신청과 협약 시 명시되어 있는 경우 승인이 이루어진 것으로 보아 별도의 신청 절차는 불필요합니다.
2. 위탁연구개발기관이 협약 체결 이후 추가되는 경우 협약 변경에 해당되므로 협약 변경 과정에서 중앙행정기관의 승인 필요합니다.",
같은 연구개발기관이 하나의 연구개발과제에서 주관연구개발기관과 공동(또는 위탁) 연구개발기관으로 동시에 수행할 수 있는지?,수행할 수 없습니다. (e.g. A대학이 B과제에서 주관연구개발기관인 동시에 공동연구개발기관으로 수행 불가능),
같은 연구개발기관이 하나의 연구개발과제에서 두 개 이상의 공동(위탁)연구개발기관으로 동시에 수행할 수 있는지?,"수행할 수 없습니다.
1. (e.g. A대학이 C과제에서 공동연구개발기관과 위탁연구개발기관으로 동시에 수행 불가능)
2. (e.g. A대학이 D과제에서 공동연구개발기관1과 공동연구개발기관2로 동시에 수행)",
같은 연구개발기관이 다른 연구개발과제를 동시에 수행 가능한지?,"두 과제는 다른 연구개발과제이므로 수행 가능합니다.
(e.g A기관이 E과제에는 주관연구개발기관, F과제에는 공동연구개발기관으로 참여 가능)",
"같은 기관에서 다른 연구팀이 동시에 같은 과제를 수행하려는 경우, 어떻게 과제에 참여하여야 하는지?","1. 연구개발계획서 작성 시에 연구 내용을 구분하여 작성할 수 있으며, 연구개발비 또한 연구개발기관 내에서 배분하여 사용 가능합니다.
2. 예시와 같이 ㄴ교수 연구팀은 해당 과제에서 별개의 위탁연구개발기관으로 참여할 수 없으며, ㄱ교수 연구팀과 연구 내용과 연구비를 배분할 필요가 있습니다. (e.g. A대학이 F과제에 공동연구개발기관로 참여하고 있으며 책임자는 ㄱ교수인 상황에서, A대학의 ㄴ교수 연구팀이 F과제에 위탁으로 참여하려는 경우)",
개인사업자는 연구개발기관에 해당되는지?,"매출액 등의 요건을 충족하는 개인사업자는 중소기업에 포함되므로 연구개발기관에 해당합니다.(시행령 제2조)
* 「중소기업기본법」 상 중소기업이 될 수 있는 대상은 영리를 목적으로 사업을 영위하는 기업, 즉 법인인 기업(상법상 회사 등)과 개인사업자입니다.",
공기업은 연구개발기관에 해당되는지?,"공기업이 「상법」 제169조에 따른 회사, 「민법」 또는 다른 법률에 따라 설립된 비영리법인 등 법 제2조 및 시행령 제2조 각 호에 해당되는 경우 연구개발기관에 해당합니다.
* 「국가연구개발사업 연구개발비 사용 기준 」 제2조제4호에 따라 지방직영기업, 지방공사, 지방공단을 포함",
중앙행정기관이 직접 수행하는 사업에서 중앙행정기관과 계약을 체결하여 정책연구 등 연구용역(260목으로 편성)을 수행하는 기관은 연구개발기관에 해당되는지?,"이 경우 연구용역은 연구개발과제이며, 이를 수행하는 기관은 솔리드이엔지에 해당합니다.",
해외에 소재한 기관 단체는 연구개발기관에 해당되는지?,"1. 해외에 소재한 기관 단체는 법 제2조 제3호 각 호에 포함되지 않으므로 연구개발기관의 범위에 해당되지 않음
2. 만약 국내에 법인이 있거나 상법상 회사 등 제2조 제3호 각 호의 요건을 갖춘 경우, 국내에 소재한 법인 또는 회사가 연구개발기관에 해당됨(e.g 본사는 해외에 있으나 국내에 법인 형태로 지사를 설립한 경우 국내 법인이 연구개발기관에 해당)",
"해외기관이 연구개발기관이 아니라면, 해당 기관과의 국제공동연구는 어떠한 방식으로 수행이 가능한지?","1. 연구개발과제계획서에 해외 기관과의 공동연구에 대해 명시하는 방법으로 수행 가능하며, 이 경우 해외 기관의 명칭은 연구개발계획서 서식 중 ‘연구개발기관 외 기관’ 란에 기재
2. 외국에 소재한 해외기관에 비용을 지급해야 하는 경우, 국제공동연구개발비 또는 외부전문기술활용비로 지급 가능(외국인에게 비용을 지급해야 하는 경우도 동일)",
법 제2조에도 불구하고 연구개발기관의 수행 자격을 부처별 규정 또는 사업 공고 등에서 한정할 수 있는지?,"1. 연구개발기관의 신청 자격을 제한하고자 하는 경우 사업 공고에 이를 명시하여야 함(시행령 제9조 제1항)
2. 사업 공고 시 신청 자격을 제한하지 않으면 부처별 법령에 수행 자격이 명시된 경우라도 혁신법 제2조 제3호 각 호의기관이 모두 신청 및 수행할 수 있음",
전문기관을 지정하는 방식은?,"일반 국민이 알 수 있도록 훈령, 고시, 공고, 추진계획 등 대외에 공개되는 문서를 통해 전문기관을 지정하여야 하며, 지정 시 과학기술정보통신부장관에게 통보하여야 함(법 제22조 제6항)",
중앙행정기관이 다른 법령에 근거하여 전문기관에 업무를 위탁하는 경우 혁신법에 위배되는지?,"국가연구개발혁신법 및 하위 법령에 명시된 전문기관의 업무는 대행만 가능하며, 그 외 업무에 대해서는 다른 법령에 따라 대행 또는 위탁이 가능함",
모든 전문기관에 대해 지정행위를 새로 하여야 하는 것인지?,"전문기관이 법 제22조 제2항 제1호에 해당되는 기관이거나 기존의 법령 또는 법령의 위임을 받은 행정규칙에 전문기관이 명시되어 있는 경우, 국가연구개발혁신법 부칙 제2조에 따라 종전의 과학기술기본법 제11조 제4항에 근거하여 전문기관 지정이 이루어진 것으로 보아 별도로 전문기관을 지정하는 행위는 불필요",
사업단도 전문기관에 해당하는지?,"1. 사업단이 전문기관과 같이 중앙행정기관의 업무 일부를 대행하여 협약, 평가, 정산의 주체가 되고자 하는 경우 전문기관에 해당됨
2. 따라서 이 경우에도 중앙행정기관은 일반국민이 알 수 있도록 훈령, 고시, 공고, 추진계획 등 대외에 공개되는 문서를 통해 사업단을 전문기관으로 지정하고, 그 사실을 과학기술정보통신부장관에게 통보하여야 함",
R&D 예산으로 편성되지 않았으나 R&D 성격인 사업은 혁신법을 적용할 수 있는지?,"1. R&D 예산으로 편성되지 않은 사업은 국가연구개발사업에 해당되지 않으므로 혁신법의 적용 대상은 아님
2. 해당 사업 운영 시 혁신법의 절차나 서식을 준용할 수 있으나 법적 효력은 인정되지 않으며, 제재처분 등 혁신법에 따른 처분이나 의무를 부과할 수는 없음",
R&D 예산으로 편성되었으나 R&D 성격이 아닌 사업도 혁신법을 적용해야 하는지?,R&D 예산으로 편성된 사업은 연구개발을 위해 추진되는 R&D 성격인 사업이므로 혁신법의 적용 대상임,
하나의 세부사업 내에서 R&D와 비R&D로 내역사업이 구분되는 경우 구분하여 적용이 가능한지?,내역사업에서 R&D와 비R&D가 구분이 가능한 경우 R&D 내역사업에만 적용,
"하나의 세부사업에 제3조 각 호 또는 제4조 단서에 해당되는 사업이 혼재된 경우, 어떻게 적용해야 하는지?","내역사업 또는 사업의 세부 내용에서 제3조 각 호 또는 제4조 단서에 해당되는 사업을 특정할 수 있는 경우, 해당 내역사업 또는 세부 내용에 대해서만 예외 가능 (e.g. 내역사업으로 기획평가관리비가 편성된 경우, 세부사업이 중앙행정기관이 직접 수행하는 내역사업과 공모를 통해 민간에 지원하는 사업으로 편성된 경우 등)",
중앙행정기관이 직접 수행하는 사업 내에 연구용역비(260목)로 집행하는 용역과제는 제3조제1호에 해당하여 제9조부터 제18조까지 적용을 받지 않는 것인지?,제3조제1호에 해당하여 제9조부터 제18조까지 적용을 받지 않음,
중앙행정기관이 보조금으로 지원하는 국가연구개발사업은 제3조 제1호의 ‘중앙행정기관이 직접 수행하는 사업’에 해당되는지?,해당되지 않음,
국제부담금이 아닌 국제공동연구는 어떻게 적용되는지?,"일반 연구개발사업과 동일한 규정이 적용되나, 협정 조약 등에서 연?구개?발과제와 연구개발기관을 특정한? 경우? 지정 등 공모 외의 방법으로 선정 가능하며(법 제9조제4항), 외국의 정부 기관 단체가 사용하거나 외국의 정부 기관 단체가 지원하는 연구개발비는 사용 기준을 달리 정할 수 있음(「국가연구개발사업 연구개발비 사용 기준」제116조 제3항)
(e.g 국제협약 또는 MOU에 근거하여 추진되는 국제공동연구 등)",
제3조 제2호의 ‘협정 조약 등’에 양해각서(MOU)가 포함되는지?,"이미 협정 또는 조약을 체결한 국가와 양해각서를 체결하여 기존 협정 조약의 내용을 규정하는 경우 ‘협정 조약 등’에 포함되며, 협정 또는 조약이 체결되지 않은 국가와 양해각서를 체결한 경우에는 그 형식과 내용에 따라 법 제3조 제2호 해당 여부를 개별적으로 검토할 필요",
국방 분야의 사업에서 보안과제와 보안과제가 아닌 연구개발과제가 모두 포함된 경우 어떻게 적용하는지?,보안과제에 대해서만 혁신법의 규정을 적용하지 않음,
「산업기술혁신 촉진법」제42조에 따라 설립된 ‘전문생산기술연구소’는 「국가연구개발혁신법」제4조 단서의 ‘다른 법률에 따라 직접 설립된 기관’에 해당하는지?,법률에 기관 명칭이 명시되지 않고 설립 여부가 재량으로 규정되어 있어 직접 설립된 기관에 해당되지 않음,
‘다른 법률에서 따로 정하는 경우’에 해당되기 위해 다른 법률에서 어떠한 조항이 규정되어야 하는지?,"연구개발과제의 선정, 협약, 평가 등을 직접 규정하고 있거나 이를 대통령령으로 위임하는 조항 필요",
기관이 일반출연금(350목)으로 운영비 등을 지원받는 경우 제4조 단서에 따른 기본사업에 포함되는지?,"연구개발예산이 아닌 일반출연금으로 지원되는 사업은 동 법에서 규정하는 ‘국가연구개발사업’에 해당되지 않으므로, 제4조 단서의 기본사업에도 해당되지 않음 (e.g. 국립서울대학교 출연지원, 국립생태원 출연 등)",
기관 기본사업이 제3조와 제4조 단서에 모두 해당되는 경우(예: 경인사 연구회 소관 정부출연연구기관의 기본사업) 어떤 규정을 적용해야 하는지?,제3조를 적용함,
기존에 수행되는 연구개발과제에도 동 법이 적용되는지?,"1. 기존 수행중인 연구개발과제에 대해서도 2021년부터 연구개발비 사용, 협약, 평가, 보고서 제출 등 과제 운영전반에 대해 국가연구개발혁신법이 적용합니다.
2. 다만 연구개발성과의 소유?관리에 대해서는 종전 규정을 적용하며, 법 시행 이전에 연구개발성과 실시 계약을 체결한 경우 기술료의 징수와 사용에 대해서는 종전 규정을 적용합니다.",
개정된 사항을 반영하기 위해 기존 협약을 개정해야 하는지?,"협약의 내용이 혁신법 및 하위법령과 부합하지 않으며, 부합하지 않는 내용이 중대한 경우 기존 협약을 개정할 필요합니다.",
"단년도 협약을 체결한 다년도 과제의 경우, 협약을 개정하여 협약 기간을 변경해야 하는지?",협약 종료 전까지 협약 종료일을 과제 종료기간과 일치하도록 기존 협약을 개정할 필요가 있습니다.,
계속 수행중인 과제도 2021년에는 개정된 연구개발비 사용 용도와 사용 기준을 준수하여야 하는지?,계속 수행중인 과제도 2021년 1월 1일부터는 변경된 연구개발비 사용용도와 사용 기준을 준수할 필요,
"2020년에 종료된 연구개발과제에 대해 2021년 정산을 실시하는 경우, 정산 대상, 사용 기준과 회수 기준은 어느 규정을 따르는지?","정산 대상, 사용 기준과 회수 기준은 종전 규정을 따름",
"연구개발기간이 2020.6.1.~2021.2.28.인 연구개발과제에 대해 21년 정산을 실시하는 경우, 정산 대상, 사용 기준과 회수 기준은 어느 규정을 따르는지?","1. 정산 대상은 「연구개발비 사용 기준」을 따릅니다.
2. 사용 기준은 2020.6.1. ~ 2020.12.31.까지 집행한 비용은 종전 규정을 따르며, 2021.1.1.부터 2021.2.28.까지 집행한 비용은 「연구개발비 사용 기준」을 따릅니다.
3. 회수 기준은 「연구개발비 사용 기준」을 따릅니다.",
"연구개발단계가 3년인데 1~2차년도에 이미 정산을 실시한 경우, 정산 시 1~2차년도 사용분에 대해 다시 정산하여야 하는지?",정산이 이루어지지 않은 3차년도에 대해서만 정산함,
연구성과에 대한 특허 출원이 2019년에 이루어졌으나 등록은 혁신법 시행 이후인 2021년에 등록되었다면 혁신법에 따라 위탁연구개발기관은 특허 등 연구성과를 소유할 수 없는지?,"1. 혁신법 제16조에서 연구개발성과의 소유?관리에 대해 규정하고 있으나, 혁신법 시행 전 과학기술기본법 제11조의3에 따라 협약을 체결한 연구개발과제의 연구성과는 과기기본법에 따름(혁신법 부칙 제3조)
2. 즉, 과제협약일을 기준으로 협약일이 혁신법 시행 이전이라면 과기기본법 제11조의3 및 혁신법 부칙 제3조에 따라 혁신법 제16조에도 불구하고 위탁연구개발기관도 연구성과를 소유할 수 있음",
"시행령 제12조 제4항 및 제5항은 ‘연구개발기관’에 유리 또는 불리한 대우를 할 수 있다고 규정하고 있는데, 감점을 연구자에게 부여할 수 없는지?","1. 혁신법은 ‘연구개발기관’을 선정, 협약의 당사자로 하고 있어 법리에 따라 연구개발기관에 유리 또는 불리한 대우를 하도록 하는 것입니다.
2. 한편 법 제10조제1항, 시행령 제12조제1항은 사전검토 및 선정평가의 대상을 기관?단체?연구자로 명시하고 있으며, 이에 따라 실제적인 가?감점의 검토 및 부여도 기관, 단체, 연구자를 대상으로 합니다.",
연구개발과제 선정의 우대 및 감점 기준과 방법을 참고할 수 있는 자료가 있는지?,"1. ‘국가연구개발 과제평가 표준지침’(2021.12. 개정)에 유리 및 불리한 대우의 다양한 기준을 예시로 제시하였음
2. 이러한 예시의 기준을 일률적으로 적용하는 것이 아니라 과제의 목적, 내용, 특성에 따라 우대의 기준을 차별화하여 적용할 것을 권고",
시행령 제12조제5항에 규정된 사유 이외에 다른 사유로 불리한 대우를 할 수 있는지?,"1. 입법 취지, 규정 내용을 고려하면 시행령에 적시된 사유에 해당하는 경우에 한정하여 불리한 대우를 할 수 있으며 다만 적용방법(감점 등)은 재량사항임
2. 따라서, 사업 및 과제의 공고 시 불리한 대우(감점) 사항으로는 시행령 제12조제5항 각 호 이외의 사유를 명시할 수 없음",
선정평가 결과 통보일로부터 30일 이내에 협약하지 않으면 제재처분이 있는지?,"제재가 부과되지는 않으나, 협약 당사자인 연구개발기관과 연구책임자의 지위를 빠른 시일 내에 확정해준다는 취지로 보아야 함",
법 제9조제4항에 근거해 지정 등 공모 외 방법으로 선정하려는 경우에도 평가를 하여야 하는지?,"지정 시 선정이 이루어진 것으로 보아 별도의 선정평가를 반드시 할 필요는 없음. 단, 중앙행정기관의 장(전문기관)은 기간을 정하여 해당 기관·단체로부터 연구개발계획서를 제출받아 검토할 것",
협약 체결 이후에 주관연구개발기관이 위탁연구개발기관을 참여시키려는 경우 그 절차는?,"1. 혁신법 시행령 제2조제2항제3호에 따라 위탁연구개발기관도 연구개발기관임
2. 혁신법 제11조제2항에 따라 연구개발기관을 추가하려면 협약의 상대방에게 연구개발과제협약의 변경 사유와 내용을 사전에 문서로 명확히 알리고 상호 협의를 거쳐 협약을 변경해야 함
3. 따라서, 주관연구개발기관은 위탁연구개발기관 참여에 관한 협약의 변경을 중앙행정기관(또는 전문기관)에 요청하고, 이에 대하여 승인을 얻은 경우 협약을 변경할 수 있음",
연구책임자의 참여제한(혁신법 시행 이후 부정행위 발생)이 확정된 경우 해당 연구자와 해당 연구자가 수행하고 있는 과제는 어떻게 처리해야 하나?,"1. 혁신법 제34조 제1항에 따라 중앙행정기관은 참여제한 처분을 받은 자에 대해 지체 없이 모든 국가연구개발활동(연구지원은 제외)에서 참여를 제한해야 하며, 이 경우의 국가연구개발활동에는 참여제한 처분을 받은 자가 수행 중인 연구개발과제도 포함됨
2. 혁신법 제15조제1항제2호에 따라 연구책임자가 참여제한을 받은 경우 중앙행정기관은 특별평가를 통해 과제의 특성, 수행단계, 진행정도 등을 고려하여 연구책임자를 변경하거나 과제를 중단할 수 있음",
연구책임자가 아닌 참여연구자의 참여제한(혁신법 시행 이후 부정행위 발생)이 확정된 경우 해당 연구자와 해당 연구자가 수행하고 있는 과제는 어떻게 처리해야 하나?,"1. 혁신법 제34조 제1항에 따라 중앙행정기관은 참여제한 처분을 받은 자에 대해 지체 없이 수행하고 있는 과제를 포함하여 모든 국가연구개발활동(연구지원은 제외)에서 참여를 제한해야 함
2. 참여연구자의 경우 중앙행정기관이 특별평가 없이 해당 연구자를 수행하고 있는 과제에서 배제할 수 있으며, 이 경우 협약의 변경은 협약 당사자 중 어느 일방의 통보로 이루어질 수 있음",
"연차협약 및 연차평가가 폐지됨에 따라, 다년도 과제를 연 단위로 평가하는 것은 불가능해지는 것인지?","1. 과제의 특성에 따라 연 단위의 평가가 필요한 경우, 단계를 연 단위로 하여 매년 단계평가를 실시할 수 있음
2. 한편, 단계를 연 단위로 구분하지 않더라도 혁신법 제12조제4항에 따라 매년 연차보고서를 제출받거나 필요시 혁신법 제12조제7항에 따라 관련 보고를 요구함으로써 연 단위로 과제의 진행 상황은 점검 할 수 있음",
"「국가연구개발혁신법」에 따라 연차협약 및 연차평가가 폐지되었는데, 계속과제의 경우 연차협약을 체결하고 연차
평가를 실시하여도 되는지?","1. 「국가연구개발혁신법」 은 부칙 제1조에 따라 ’21.1.1부터 시행되었음. 따라서, ’21.1.1부터 시작하는 협약은 「국가연구개발혁신법」 제11조제1항 후단에 따라 해당 연구개발과제의 전체 연구개발기간을 협약기간으로 하여 체결되어야 함(만약, 이미 연차협약이 체결된 경우라면 협약기간을 전체 연구개발기간으로 하는 협약 변경이 필요)
2. 「국가연구개발혁신법」 제12조제2항에 따라 평가는 연구개발과제의 단계가 종료되거나 연구개발과제가 종료되었을 때 실시해야 하며, 연차평가제도는 폐지되었음. 따라서, 21.1.1 이후 연차평가를 실시하는 것은 「국가연구개발혁신법」의 취지에 부합하지 않음. 참고로, 연구개발과제 종료 전 반드시 평가가 필요하다면 연구개발과제의 단계를 필요한 평가 주기에 맞게 구분하는 협약 변경을 통해 단계평가를 실시하는 방법이 있음",
어떤 경우에 상호협의를 통해 협약 변경으로 연구책임자를 변경할 수 있는지?,"1. 연구책임자에게 사망, 퇴직, 건강악화, 출산·육아, 본국귀환, 사고·재해, 공공기관의 장(또는 임원) 및 공무원(국회의원, 장(차)관 포함) 임명, 인사이동에 따른 부서 이동, 담당 업무의 변경 등 객관적으로 연구개발과제 수행을 지속할 수 없는 상황이 발생하였을 시에는 협약 당사자 간 상호협의를 통해 연구책임자를 변경할 수 있음",
혁신법 이전 협약 변경 시 승인 사항으로 관리하던 참여연구자(예: 핵심연구자)도 혁신법에 따라 통보 사항이 되는 것인지?,"1. 「국가연구개발혁신법」 제11조제3항 및 동법 시행령 제14조제2항제2호에 따라 연구책임자(이 경우 연구개발기관의 책임자로 해석하여 공동연구개발기관 책임자, 위탁연구개발기관 책임자도 포함)를 제외한 연구개발과제를 수행하는 연구자의 변경은 협약변경의 경미한 사항으로 보고 통보로 해당 연구개발과제 협약이 변경된 것으로 봄
2. 따라서, 연구개발기관의 책임자가 아닌 참여연구자의 변경은 협약 변경 시 통보사항임",
"모회사(A기업), 자회사(B기업) 간 별도의 연구개발기관으로 연구개발과제 수행이 가능한지? 또는 연구개발기관으로 참여 중인 모회사(A기업)를 자회사(B기업)로 연구개발기관 변경이 가능한지?","1. 모회사(A기업)와 자회사(B기업)가 별도의 법인으로 분리되어 있다는 전제 하에 A기업(주관)-B기업(공동) 등의 형태로 연구개발과제 수행이 가능함
2. 또한, 연구개발기관으로 참여중인 모회사(A기업)를 대신하여 자회사(B기업)로 연구개발기관 변경이 가능함. 이 경우 혁신법 제11조제2항에 따른 중요한 사항의 협약 변경으로 부처와 상호협의(실무상 승인)를 거쳐 변경하여야 함",
"혁신법 제15조제1항에 따른 특별평가를 실시하는 경우, 해당 과제의 모든 연구개발기관의 연구개발비 추가 집행이 불가한 것인지 아니면 특별평가 실시 사유가 발생한 기관만 연구개발비 추가 집행이 불가한 것인지?",혁신법 제15조제1항 후단의 연구개발비 집행 중지는 특별평가의 실시 사유가 발생한 연구개발기관만 대상으로 함,
법인등록번호는 같지만 사업자 등록번호가 다른 기관·단체가 같은 연구개발과제 안에서 다른 연구개발기관으로 협약을 체결하는 것은 불가한 것인지?,"1. 혁신법 제2조에 따라 협약의 당사자로서 연구개발기관은 국가연구개발사업을 수행하는 법인격을 갖춘 기관·단체를 말하는 반면, 사업자등록번호는 과세관청이 과세편의를 위해 부과한 번호로 법인격과는 무관함
2. 따라서 법인번호는 같지만 사업자등록번호가 다른 기관·단체가 같은 연구개발과제 안에서 주관/공동/위탁 등 다른 역할을 수행하는 협약의 당사자로서 사업자등록번호를 기준으로 구분하여 협약을 체결하는 것은 불가(e.g. 동일한 A 법인 내 사업자 등록번호만 다른 a기관과 b기관이 주관-공동으로 같은 연구개발과제를 수행하는 것은 불가)",
연구책임자가 6개월 이상 국내외 파견 등의 사유로 부재하는 경우 후속조치는?,"1. 혁신법 제11조제2항에 따라 연구책임자의 변경은 중요한 협약 변경의 사항으로 중앙행정기관(전문기관)과 상호 협의(실무 상 승인)를 거쳐 협약을 변경하여야 하는 사항임
2. 연구책임자의 6개월 이상 해외체류 등으로 인해 혁신법 제15조제1항제5호에 따라 연구개발과제를 계속 수행하는 것이 불가능하다고 인정되는 경우라면 소관 중앙행정기관의 장은 특별평가를 거쳐 연구책임자 등을 변경하는 등의 조치를 할 수 있음
※ 연구책임자 변경이 발생하더라도 특별평가를 필수적으로 거쳐야 하는 것은 아님
※ 연구책임자가 6개월 이상 해외체류 하더라도 연구개발과제를 계속 수행하는 것이 가능하다면 연구책임자를 변경하지 않을 수 있음",
과제시작 이후에만 협약변경이 가능한 것인지?,"1. 연구개발과제 협약의 기간은 「국가연구개발혁신법」 제11조제1항에 따라 해당 연구개발과제의 전체 연구개발기간으로 하기 때문에 연구개발기간 시작일부터 종료일까지 변경사항이 있을 경우 협약변경이 가능함
2. 단, 협약 전에 내용변경이 필요한 경우 정보 변경 수준으로 협약 전 변경이 가능함",
